id	nombre	categoria	vigencia	stock_total	costo_promedio	stock_principal	stock_jenifer	stock_santiago	stock_ricardo	stock_mercado_libre	stock_villa_aburra	stock_apica	stock_el_salvador	stock_desarrollo	stock_no_conformes
566	BOLSA METALIZADA VENTANA CON ETIQUETAS ALMENDRA 200 GR	T03.03. ENVASES ECOLOGICOS	Vigente	0	0	0	0	0	0	0	0	0	0	0	0
567	BOLSA METALIZADA VENTANA CON ETIQUETAS ALMENDRA DE CACAO 200 GR	T03.03. ENVASES ECOLOGICOS	Vigente	0	0	0	0	0	0	0	0	0	0	0	0
568	BOLSA METALIZADA VENTANA CON ETIQUETAS MACADAMIA 200 GR	T03.03. ENVASES ECOLOGICOS	Vigente	0	0	0	0	0	0	0	0	0	0	0	0
569	BOLSA METALIZADA VENTANA CON ETIQUETAS MARAÑON 200 GR	T03.03. ENVASES ECOLOGICOS	Vigente	0	0	0	0	0	0	0	0	0	0	0	0
57	REFINADO CACAO 24H	T09.01. SERVICIOS MAQUILA	Vigente	-No aplica-	10000	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-
570	BOLSA METALIZADA VENTANA CON ETIQUETAS MIX FRUTOS SECOS 200 GR	T03.03. ENVASES ECOLOGICOS	Vigente	0	0	0	0	0	0	0	0	0	0	0	0
571	BOLSA PEQUEÑA TRANSPARENTE CON ETIQUETAS MIX FRUTOS SECOS 100 GR	T03.03. ENVASES ECOLOGICOS	Vigente	0	0	0	0	0	0	0	0	0	0	0	0
572	BOLSA PEQUEÑA TRANSPARENTE CON ETIQUETAS MACADAMIA 100 GR	T03.03. ENVASES ECOLOGICOS	Vigente	0	0	0	0	0	0	0	0	0	0	0	0
573	BOLSA PEQUEÑA TRANSPARENTE CON ETIQUETAS ALMENDRA 100 GR	T03.03. ENVASES ECOLOGICOS	Vigente	0	0	0	0	0	0	0	0	0	0	0	0
574	BOLSA PEQUEÑA TRANSPARENTE CON ETIQUETAS MARAÑON 100 GR	T03.03. ENVASES ECOLOGICOS	Vigente	0	0	0	0	0	0	0	0	0	0	0	0
575	BOLSA PEQUEÑA TRANSPARENTE CON ETIQUETAS NIBS 100 GR	T03.03. ENVASES ECOLOGICOS	Vigente	0	0	0	0	0	0	0	0	0	0	0	0
576	BOLSA PEQUEÑA TRANSPARENTE CON ETIQUETAS ALMENDRA DE CACAO 100 GR	T03.03. ENVASES ECOLOGICOS	Vigente	0	0	0	0	0	0	0	0	0	0	0	0
577	Etiqueta Transparente Miel Panal 275 gr	T03.21. ETIQUETAS ADESIVAS	Vigente	6	300	6	0	0	0	0	0	0	0	0	0
578	Etiqueta Transparente Miel Panal 150 gr	T03.21. ETIQUETAS ADESIVAS	Vigente	2	300	2	0	0	0	0	0	0	0	0	0
579	Almendra recubierta de chocolate OS x kilo	TPT.01. VENTA AGROECOLOGICOS VARIOS	Vigente	5	26059.2	5	0	0	0	0	0	0	0	0	0
58	TOSTADO CF CACAO	T09.01. SERVICIOS MAQUILA	Vigente	-No aplica-	2000	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-
580	CAJA CHOCOLATE OSCURO 100% X UND	T03.41. CAJAS	Vigente	460	1000	460	0	0	0	0	0	0	0	0	0
581	COBERTURA CHOCOLATE CPM 73% OS X KILO  -  TEMPLADA	T01.03. AGROECOLOGICOS GRAL	Vigente	0	0	0	0	0	0	0	0	0	0	0	0
59	DESCASCARILLADO CF CACAO	T09.01. SERVICIOS MAQUILA	Vigente	-No aplica-	2000	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-
60	MIEL SAN MIGUEL FILTRADA x KILO	T01.03. AGROECOLOGICOS GRAL	Vigente	0	16500	0	0	0	0	0	0	0	0	0	0
61	FILTRADO APICA	T999. PRODUCTOS QUE NO SE USAN	Vigente	-No aplica-	0	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-
62	ENVASADO APICA	T999. PRODUCTOS QUE NO SE USAN	Vigente	-No aplica-	0	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-
