cod;nombre;;categoria;tipo;stock;costo_unit;valor_inventario;ult_material;ult_produccion;ult_compra;nunca_usado;accion_sugerida
181;Envase Vidrio R 4267 Flint, 450cc, B.89, C Tapa UNICOR;;T999. PRODUCTOS QUE NO SE USAN;Materia prima;8;2242;17936;15/11/2024 16:54;;;NO;ANULAR EN EFFI (ya etiquetado como no usado)
83;ENVASE VIDRIO R 4423, 280 CC B.38 C Tapa UNICOR;X;T999. PRODUCTOS QUE NO SE USAN;Materia prima;0;973,2;0;9/02/2025 15:45;;;NO;ANULAR EN EFFI (ya etiquetado como no usado)
67;ENVASE VIDRIO R 4423, 280 CC B.38 UNICOR;X;T999. PRODUCTOS QUE NO SE USAN;Materia prima;0;790;0;13/12/2024 12:46;;;NO;ANULAR EN EFFI (ya etiquetado como no usado)
27;INFUSION DE CACAO OS CON MENTA, POLEN X 100 GRS;X;T999. PRODUCTOS QUE NO SE USAN;Producto en proceso;0;3213,08;0;5/07/2024 9:49;26/04/2024 16:05;;NO;ANULAR EN EFFI (ya etiquetado como no usado)
153;INFUSION DE CACAO OS CON MENTA, POLEN Y YERBABUENA X KILO;X;T999. PRODUCTOS QUE NO SE USAN;Producto en proceso;0;13585;0;;;22/11/2023 11:55;NO;ANULAR EN EFFI (ya etiquetado como no usado)
170;PROPOLEO OS 325 grs;X;T999. PRODUCTOS QUE NO SE USAN;Producto en proceso;0;7657,9;0;12/04/2024 12:53;3/02/2024 17:41;;NO;ANULAR EN EFFI (ya etiquetado como no usado)
213;Sal Común x Gramo;X;T999. PRODUCTOS QUE NO SE USAN;Materia prima;0;2,5;0;1/05/2024 13:01;;;NO;ANULAR EN EFFI (ya etiquetado como no usado)
159;TAZA CHOCOLATE LECHE 7OZ;X;T999. PRODUCTOS QUE NO SE USAN;Producto en proceso;0;1500;0;;3/02/2024 19:55;;NO;ANULAR EN EFFI (ya etiquetado como no usado)
175;TAZA CHOCOLATE LECHE 7OZ + COMPLEMENTO;X;T999. PRODUCTOS QUE NO SE USAN;Producto en proceso;0;2800;0;;3/02/2024 19:55;;NO;ANULAR EN EFFI (ya etiquetado como no usado)
174;TAZA POLEN Y JUGO;X;T999. PRODUCTOS QUE NO SE USAN;Producto en proceso;0;3000;0;;3/02/2024 19:55;;NO;ANULAR EN EFFI (ya etiquetado como no usado)
398;CREMA DE MANI BOLSA PLANA VALVULA PERFORACION  (ID 138);;TPT.01. VENTA AGROECOLOGICOS VARIOS;Producto en proceso;0;1;0;;19/12/2024 12:31;;NO;CANDIDATO ANULAR — sin uso >1 año
144;CUCHARA MIELERA PEQUEÑA;;TPT.01. VENTA AGROECOLOGICOS VARIOS;Producto en proceso;41;1715;70315;17/06/2024 12:08;22/05/2024 16:14;;NO;REVISAR — tiene stock
397;DS CREMA DE MANI DOY PACK 10X18 (ID102);;TPT.01. VENTA AGROECOLOGICOS VARIOS;Producto en proceso;0;1;0;;19/12/2024 12:31;;NO;CANDIDATO ANULAR — sin uso >1 año
350;Miel OS Carmen 1000 grs;;TPT.01. VENTA AGROECOLOGICOS VARIOS;Producto en proceso;0;20837;0;;27/11/2024 13:37;;NO;CANDIDATO ANULAR — sin uso >1 año
361;Miel Os Carmen degustacion 65 grs;;TPT.01. VENTA AGROECOLOGICOS VARIOS;Producto en proceso;0;1;0;;6/11/2024 13:23;;NO;CANDIDATO ANULAR — sin uso >1 año
9;MIEL OS PLASTICO 500grs;;TPT.01. VENTA AGROECOLOGICOS VARIOS;Producto en proceso;0;10250;0;30/05/2024 9:15;9/03/2025 19:56;;NO;CANDIDATO ANULAR — sin uso >1 año
335;DEGUSTACION DOY PACK 45gm Miel;;TPT.02. VENTA OTROS;Producto en proceso;0;3000;0;;13/09/2024 22:31;;NO;CANDIDATO ANULAR — sin uso >1 año
336;DEGUSTACION DOY PACK 45gm Propoleo;;TPT.02. VENTA OTROS;Producto en proceso;0;3000;0;;13/09/2024 22:31;;NO;CANDIDATO ANULAR — sin uso >1 año
173;Muestra Chocolate de mesa 2 porciones;;TPT.02. VENTA OTROS;Producto en proceso;5;2000;10000;;21/04/2025 11:00;;NO;REVISAR — tiene stock
235;EXHIBIDOR MEDIANO MADERA 2 NIVELES;;XMATERIAL DE APOYO VENTAS POP;Activo fijo (Propiedad, planta y equipo);0;35000;0;;;4/07/2024 19:14;NO;NO TOCAR (catálogo permanente)
251;EXHIBIDOR PEQUEÑO MADERA 1 NIVEL;;XMATERIAL DE APOYO VENTAS POP;Activo fijo (Propiedad, planta y equipo);0;0;0;;;4/07/2024 19:14;NO;NO TOCAR (catálogo permanente)
