cod;nombre;;categoria;tipo;stock;costo_unit;valor_inventario;ult_material;ult_produccion;ult_compra;nunca_usado;accion_sugerida
531;Etiqueta tableta tornasol cacao organico x unidad;;T03.21. ETIQUETAS ADESIVAS;Materia prima;0;22,5;0;;;;SI;CANDIDATO ANULAR — nunca usado
536;Etiqueta tableta tornasol con almendra x unidad;;T03.21. ETIQUETAS ADESIVAS;Materia prima;0;19,54;0;;;;SI;CANDIDATO ANULAR — nunca usado
534;Etiqueta tableta tornasol con macadamia x unidad;;T03.21. ETIQUETAS ADESIVAS;Materia prima;0;19,54;0;;;;SI;CANDIDATO ANULAR — nunca usado
535;Etiqueta tableta tornasol con mani x unidad;;T03.21. ETIQUETAS ADESIVAS;Materia prima;0;19,54;0;;;;SI;CANDIDATO ANULAR — nunca usado
537;Etiqueta tableta tornasol con nibs de cacao x unidad;;T03.21. ETIQUETAS ADESIVAS;Materia prima;0;19,54;0;;;;SI;CANDIDATO ANULAR — nunca usado
538;Etiqueta tableta tornasol con sal marina x unidad;;T03.21. ETIQUETAS ADESIVAS;Materia prima;0;19,54;0;;;;SI;CANDIDATO ANULAR — nunca usado
533;Etiqueta tableta tornasol solo chocolate x unidad;;T03.21. ETIQUETAS ADESIVAS;Materia prima;0;19,54;0;;;;SI;CANDIDATO ANULAR — nunca usado
578;Etiqueta Transparente Miel Panal 150 gr;;T03.21. ETIQUETAS ADESIVAS;Materia prima;11;300;3300;;;;SI;REVISAR — tiene stock
577;Etiqueta Transparente Miel Panal 275 gr;;T03.21. ETIQUETAS ADESIVAS;Materia prima;2;300;600;;;;SI;REVISAR — tiene stock
256;BOLSA PAPEL CON CARGADERA 50uds 23.5 x12 x 33 SIGMAPLAST;;T03.31. BOLSAS DE PAPEL;Materia prima;0;0;0;;;;SI;CANDIDATO ANULAR — nunca usado
