cod;nombre;categoria;tipo;stock;costo_unit;valor_inventario;ult_material;ult_produccion;ult_compra;nunca_usado;accion_sugerida
451;O07.04. Salarios;GASTOS;Servicio;0,00;0,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
452;O07.05. Eps;GASTOS;Servicio;0,00;0,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
453;O07.06. Arl;GASTOS;Servicio;0,00;0,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
454;O07.07. Pension;GASTOS;Servicio;0,00;0,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
455;O07.08. Parafiscales;GASTOS;Servicio;0,00;0,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
456;O07.09. Primas;GASTOS;Servicio;0,00;0,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
457;O07.10. Cesantias;GASTOS;Servicio;0,00;0,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
458;O07.11. Bonificaciones e incentivos;GASTOS;Servicio;0,00;0,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
459;O07.12. Pago Dividendos;GASTOS;Servicio;0,00;0,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
460;O07.13. Subsidio de transporte;GASTOS;Servicio;0,00;0,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
461;O07.14. Comision x desempéño;GASTOS;Servicio;0,00;0,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
462;O07.15. Pagos x Dia;GASTOS;Servicio;0,00;0,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
463;O07.16. Comisiones red de amigos;GASTOS;Servicio;0,00;0,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
464;O07.17. Comisiones a terceros;GASTOS;Servicio;0,00;0,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
465;O07.18. x;GASTOS;Servicio;0,00;0,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
466;O07.19. x;GASTOS;Servicio;0,00;0,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
467;O07.20. Pagos de Honorarios y dividendos General;GASTOS;Servicio;0,00;0,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
468;O08.04. Pago Intereses Socios;GASTOS;Servicio;0,00;0,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
469;O08.05. Pago Intereses Familiares y amigos;GASTOS;Servicio;0,00;0,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
